Majestic Hotel & Spa,"With a 100-plus-year history and neoclassical facade overlooking Paseo de Gracia, the...",Barcelona,cdnx.jetcdn.com/static/image/ZmHjXwV1ZPkcoJSaMKZipUWiMUIwqP9jpz9jMKW0nJImYmVkAmHip3WwYGtlAGH3YGRmAwNjAmDjZGxhnaOa
The Mirror Barcelona,"Opened in February 2011 in Barcelona’s chic Eixample Quarter, the sparkling Mirror Ho...",Barcelona,cdnx.jetcdn.com/static/image/ZmHjXwV1ZPkcoJSaMKZipUWiMUIwqP9jpz9jMKW0nJImYmVjBGtip3WwYGt2Awx3YGRmZwV4AwR4ZwphnaOa
Cram L'Hotel,On the old promenade of Aribau Street in the heart of Barcelona's busy Eixample quart...,Barcelona,cdnx.jetcdn.com/static/image/ZmHjXwV1ZPkcoJSaMKZipUWiMUIwqP9jpz9jMKW0nJImYmVjZmpip3WwYGZmAQxlYGRmZwRmAmZkAmthnaOa
Suites Avenue,How about staying in a contemporary architectural icon overlooking one of the most be...,Barcelona,cdnx.jetcdn.com/static/image/ZmHjXwV1ZPkcoJSaMKZipUWiMUIwqP9jpz9jMKW0nJImYmVlBQLip3WwYGRjBQZkYGRmZwH2ZQH1ZmHhnaOa
Condes de Barcelona,Former Belle Epoque palace with a Michelin-star restaurant and rooftop views of La Sa...,Barcelona,cdnx.jetcdn.com/static/image/ZmHjXwV1ZPkcoJSaMKZipUWiMUIwqP9jpz9jMKW0nJImYmZ0BQtip3WwYGV3BGRmYGRmAwD5ZGL0AGNhnaOa
Alma Barcelona,"Ultra-contemporary style meets five-star comfort at the Alma Barcelona, a 72-room bou...",Barcelona,cdnx.jetcdn.com/static/image/ZmHjXwV1ZPkcoJSaMKZipUWiMUIwqP9jpz9jMKW0nJImYmR3BQDip3WwYGp2AQD2YGRmZGt0AQVjZQNhnaOa
Hotel España,"Modernist masterpiece near the Gothic quarter, with a lavish restaurant, posh tapas b...",Barcelona,cdnx.jetcdn.com/static/image/ZmHjXwV1ZPkcoJSaMKZipUWiMUIwqP9jpz9jMKW0nJImYmZ1ZQVip3WwYGplAmtjYGRmAwH1ZGLkAGHhnaOa
El Palauet Living Barcel...,Art Nouveau meets minimalism at this all-suite retreat with a rooftop hot tub overloo...,Barcelona,cdnx.jetcdn.com/static/image/ZmHjXwV1ZPkcoJSaMKZipUWiMUIwqP9jpz9jMKW0nJImYmLjZP9mpzZgBQp5AQNgZGZkAwpjZmH5Zl5dpTp
Hotel Murmuri Barcelona,"In the midst of Barcelona’s swish Eixample district, the discreet 53-room Murmuri has...",Barcelona,cdnx.jetcdn.com/static/image/ZmHjXwV1ZPkcoJSaMKZipUWiMUIwqP9jpz9jMKW0nJImYmVlZQZip3WwYGDmBGN1YGRmAwN4AmR0ZGLhnaOa
El Palace,"In the heart of the Catalonian capital, the El Palace hotel is Barcelona’s gilded gra...",Barcelona,cdnx.jetcdn.com/static/image/ZmHjXwV1ZPkcoJSaMKZipUWiMUIwqP9jpz9jMKW0nJImYmVkAwDip3WwYGpjAQH2YGRmZwZlZGVlZwVhnaOa
